Entity,Code,Date,Retail & Recreation (%)
Afghanistan,AFG,"Feb 17, 2020",0
Afghanistan,AFG,"Feb 18, 2020",0.75
Afghanistan,AFG,"Feb 19, 2020",0.4
Afghanistan,AFG,"Feb 20, 2020",0
Afghanistan,AFG,"Feb 21, 2020",0
Afghanistan,AFG,"Feb 22, 2020",1.571
Afghanistan,AFG,"Feb 23, 2020",1.429
Afghanistan,AFG,"Feb 24, 2020",1
Afghanistan,AFG,"Feb 25, 2020",0.857
Afghanistan,AFG,"Feb 26, 2020",0.857
Afghanistan,AFG,"Feb 27, 2020",1
Afghanistan,AFG,"Feb 28, 2020",0.714
Afghanistan,AFG,"Feb 29, 2020",0.286
Afghanistan,AFG,"Mar 1, 2020",0.429
Afghanistan,AFG,"Mar 2, 2020",0.714
Afghanistan,AFG,"Mar 3, 2020",0.857
Afghanistan,AFG,"Mar 4, 2020",0.714
Afghanistan,AFG,"Mar 5, 2020",1.286
Afghanistan,AFG,"Mar 6, 2020",2
Afghanistan,AFG,"Mar 7, 2020",2.143
Afghanistan,AFG,"Mar 8, 2020",2.429
Afghanistan,AFG,"Mar 9, 2020",-0.429
Afghanistan,AFG,"Mar 10, 2020",-0.857
Afghanistan,AFG,"Mar 11, 2020",-0.286
Afghanistan,AFG,"Mar 12, 2020",-0.571
Afghanistan,AFG,"Mar 13, 2020",-0.571
Afghanistan,AFG,"Mar 14, 2020",0.286
Afghanistan,AFG,"Mar 15, 2020",-0.286
Afghanistan,AFG,"Mar 16, 2020",2
Afghanistan,AFG,"Mar 17, 2020",2
Afghanistan,AFG,"Mar 18, 2020",1.714
Afghanistan,AFG,"Mar 19, 2020",1.143
Afghanistan,AFG,"Mar 20, 2020",-1.429
Afghanistan,AFG,"Mar 21, 2020",-5.571
Afghanistan,AFG,"Mar 22, 2020",-7.429
Afghanistan,AFG,"Mar 23, 2020",-9.143
Afghanistan,AFG,"Mar 24, 2020",-11.286
Afghanistan,AFG,"Mar 25, 2020",-13.857
Afghanistan,AFG,"Mar 26, 2020",-16
Afghanistan,AFG,"Mar 27, 2020",-16.714
Afghanistan,AFG,"Mar 28, 2020",-18.571
Afghanistan,AFG,"Mar 29, 2020",-22.286
Afghanistan,AFG,"Mar 30, 2020",-26.571
Afghanistan,AFG,"Mar 31, 2020",-30.571
Afghanistan,AFG,"Apr 1, 2020",-34.286
Afghanistan,AFG,"Apr 2, 2020",-38
Afghanistan,AFG,"Apr 3, 2020",-40.571
Afghanistan,AFG,"Apr 4, 2020",-41.571
Afghanistan,AFG,"Apr 5, 2020",-42.571
Afghanistan,AFG,"Apr 6, 2020",-43.143
Afghanistan,AFG,"Apr 7, 2020",-42.857
Afghanistan,AFG,"Apr 8, 2020",-43.286
Afghanistan,AFG,"Apr 9, 2020",-44
